"Translaton between Mod1 Outputs and PV names generates read1400coils.substitutions",,,,,,
"IOC Offset",".DESC field","IOC PV Name","Meaning of 1 State","Meaning of 0 State","Modicon Output #",Alias
268,"xx","CoilBlank0269","One","Zero",269,"MOD1:Coil0269:Read"
269,"PGA2 Timeout -20 min-","PGA2:TimeOut:Status","Timed Out","OK",270,"MOD1:Coil0270:Read"
270,"xx","CoilBlank0271","One","Zero",271,"MOD1:Coil0271:Read"
271,"PGB1 Timeout -20 min-","PGB1:TimeOut:Status","Timed Out","OK",272,"MOD1:Coil0272:Read"
272,"xx","CoilBlank0273","One","Zero",273,"MOD1:Coil0273:Read"
273,"PGB2 Timeout -20 min-","PGB2:TimeOut:Status","Timed Out","OK",274,"MOD1:Coil0274:Read"
274,"xx","CoilBlank0275","One","Zero",275,"MOD1:Coil0275:Read"
275,"PGC1 Timeout -20 min-","PGC1:TimeOut:Status","Timed Out","OK",276,"MOD1:Coil0276:Read"
276,"xx","CoilBlank0277","One","Zero",277,"MOD1:Coil0277:Read"
277,"PGZ1 Timeout -20 min-","PGZ1:TimeOut:Status","Timed Out","OK",278,"MOD1:Coil0278:Read"
278,"No Pump Group Timeout","VAC:PG:NoTimeout:Status","No Timeout","Timeout",279,"MOD1:Coil0279:Read"
279,"Vac Error Reset","VAC:PG:Error:Reset","Reset","Not Reset",280,"MOD1:Coil0280:Read"
280,"PG1 Error","PG1:Error:Status","Error","No Error",281,"MOD1:Coil0281:Read"
281,"PG2 Error","PG2:Error:Status","Error","No Error",282,"MOD1:Coil0282:Read"
282,"PGSWM Error","PGSWM:Error:Status","Error","No Error",283,"MOD1:Coil0283:Read"
283,"PGA1 Error","PGA1:Error:Status","Error","No Error",284,"MOD1:Coil0284:Read"
284,"PGA2 Error","PGA2:Error:Status","Error","No Error",285,"MOD1:Coil0285:Read"
285,"PGB1 Error","PGB1:Error:Status","Error","No Error",286,"MOD1:Coil0286:Read"
286,"PGB2 Error","PGB2:Error:Status","Error","No Error",287,"MOD1:Coil0287:Read"
287,"PGC1 Error","PGC1:Error:Status","Error","No Error",288,"MOD1:Coil0288:Read"
288,"PGZ1 Error","PGZ1:Error:Status","Error","No Error",289,"MOD1:Coil0289:Read"
289,"No Pump Group Error","VAC:PG:PumpGroupError:Status","Error","No Error",290,"MOD1:Coil0290:Read"
290,"PGSWM Scroll Pump On For Over 20 Sec","PGSWM:MechPump:RVLineReady:Status","Ready","Not Ready",291,"MOD1:Coil0291:Read"
291,"PGZ1 Scroll Pump On For Over 20 Sec","PGZ1:MechPump:RVLineReady:Status","Ready","Not Ready",292,"MOD1:Coil0292:Read"
292,"PGA1 Scroll Pump On For Over 20 Sec","PGA1:MechPump:RVLineReady:Status","Ready","Not Ready",293,"MOD1:Coil0293:Read"
293,"PGA2 Scroll Pump On For Over 20 Sec","PGA2:MechPump:RVLineReady:Status","Ready","Not Ready",294,"MOD1:Coil0294:Read"
294,"PGB1 Scroll Pump On For Over 20 Sec","PGB1:MechPump:RVLineReady:Status","Ready","Not Ready",295,"MOD1:Coil0295:Read"
295,"PGB2 Scroll Pump On For Over 20 Sec","PGB2:MechPump:RVLineReady:Status","Ready","Not Ready",296,"MOD1:Coil0296:Read"
296,"PGC1 Scroll Pump On For Over 20 Sec","PGC1:MechPump:RVLineReady:Status","Ready","Not Ready",297,"MOD1:Coil0297:Read"
297,"PG1 Scroll Pump On For Over 20 Sec","PG1:MechPump:RVLineReady:Status","Ready","Not Ready",298,"MOD1:Coil0298:Read"
298,"PG2 Scroll Pump On For Over 20 Sec","PG2:MechPump:RVLineReady:Status","Ready","Not Ready",299,"MOD1:Coil0299:Read"
299,"PG1 Off Mode","PG1:OffMode:Status","Off","Not Off",300,"MOD1:Coil0300:Read"
300,"PG1 Standby Mode","PG1:StandByMode:Status","Standby","Not Standby",301,"MOD1:Coil0301:Read"
301,"PG1 Pump Mode","PG1:PumpMode:Status","Pumping","Not Pumping",302,"MOD1:Coil0302:Read"
302,"PG2 Off Mode","PG2:OffMode:Status","Off","Not Off",303,"MOD1:Coil0303:Read"
303,"PG2 Standby Mode","PG2:StandByMode:Status","Standby","Not Standby",304,"MOD1:Coil0304:Read"
304,"PG2 Pump Mode","PG2:PumpMode:Status","Pumping","Not Pumping",305,"MOD1:Coil0305:Read"
305,"PGSWM Off Mode","PGSWM:OffMode:Status","Off","Not Off",306,"MOD1:Coil0306:Read"
306,"PGSWM Standby Mode","PGSWM:StandByMode:Status","Standby","Not Standby",307,"MOD1:Coil0307:Read"
307,"PGSWM Pump Mode","PGSWM:PumpMode:Status","Pumping","Not Pumping",308,"MOD1:Coil0308:Read"
308,"PGA1 Off Mode","PGA1:OffMode:Status","Off","Not Off",309,"MOD1:Coil0309:Read"
309,"PGA1 Standby Mode","PGA1:StandByMode:Status","Standby","Not Standby",310,"MOD1:Coil0310:Read"
310,"PGA1 Pump Mode","PGA1:PumpMode:Status","Pumping","Not Pumping",311,"MOD1:Coil0311:Read"
311,"PGA2 Off Mode","PGA2:OffMode:Status","Off","Not Off",312,"MOD1:Coil0312:Read"
312,"PGA2 Standby Mode","PGA2:StandByMode:Status","Standby","Not Standby",313,"MOD1:Coil0313:Read"
313,"PGA2 Pump Mode","PGA2:PumpMode:Status","Pumping","Not Pumping",314,"MOD1:Coil0314:Read"
314,"PGB1 Off Mode","PGB1:OffMode:Status","Off","Not Off",315,"MOD1:Coil0315:Read"
315,"PGB1 Standby Mode","PGB1:StandByMode:Status","Standby","Not Standby",316,"MOD1:Coil0316:Read"
316,"PGB1 Pump Mode","PGB1:PumpMode:Status","Pumping","Not Pumping",317,"MOD1:Coil0317:Read"
317,"PGB2 Off Mode","PGB2:OffMode:Status","Off","Not Off",318,"MOD1:Coil0318:Read"
318,"PGB2 Standby Mode","PGB2:StandByMode:Status","Standby","Not Standby",319,"MOD1:Coil0319:Read"
319,"PGB2 Pump Mode","PGB2:PumpMode:Status","Pumping","Not Pumping",320,"MOD1:Coil0320:Read"
320,"PGC1 Off Mode","PGC1:OffMode:Status","Off","Not Off",321,"MOD1:Coil0321:Read"
321,"PGC1 Standb Mode","PGC1:StandByMode:Status","Standby","Not Standby",322,"MOD1:Coil0322:Read"
322,"PGC1 Pump Mode","PGC1:PumpMode:Status","Pumping","Not Pumping",323,"MOD1:Coil0323:Read"
323,"PGZ1 Off Mode","PGZ1:OffMode:Status","Off","Not Off",324,"MOD1:Coil0324:Read"
324,"PGZ1 Standby Mode","PGZ1:StandByMode:Status","Standby","Not Standby",325,"MOD1:Coil0325:Read"
325,"PGZ1 Pump Mode","PGZ1:PumpMode:Status","Pumping","Not Pumping",326,"MOD1:Coil0326:Read"
326,"PG1 HiVac Valve Open","PG1:HVVOpen:Status","Open","Not Open",327,"MOD1:Coil0327:Read"
327,"PG1 HiVac Valve Closed","PG1:HVVClosed:Status","Closed","Not Closed",328,"MOD1:Coil0328:Read"
328,"Selected Pump Grp Penning On","VAC:SelPGPenningOn:Status","On","Not On",329,"MOD1:Coil0329:Read"
329,"PGSWM Turbo Pump On Command","PGSWM:TurboPumpOn:Status","On","Not On",330,"MOD1:Coil0330:Read"
330,"PGZ1 Turbo Pump On Command","PGZ1:TurboPumpOn:Status","On","Not On",331,"MOD1:Coil0331:Read"
331,"PGA1 Turbo Pump On Command","PGA1:TurboPumpOn:Status","On","Not On",332,"MOD1:Coil0332:Read"
332,"PGA2 Turbo Pump On Command","PGA2:TurboPumpOn:Status","On","Not On",333,"MOD1:Coil0333:Read"
333,"PGB1 Turbo Pump On Command","PGB1:TurboPumpOn:Status","On","Not On",334,"MOD1:Coil0334:Read"
334,"PGB2 Turbo Pump On Command","PGB2:TurboPumpOn:Status","On","Not On",335,"MOD1:Coil0335:Read"
335,"PGC1 Turbo Pump On Command","PGC1:TurboPumpOn:Status","On","Not On",336,"MOD1:Coil0336:Read"
336,"PG2 HiVac Valve Open Status","PG2:HVVOpen:Status","Open","Not Open",337,"MOD1:Coil0337:Read"
337,"PG2 HiVac Valve Closed Status","PG2:HVVClosed:Status","Closed","Not Closed",338,"MOD1:Coil0338:Read"
338,"xx","CoilBlank0339","One","Zero",339,"MOD1:Coil0339:Read"
339,"Line A Selected in Treat Mode","CYC:LineASelectedTreatMode:Status","Treat","Not Treat",340,"MOD1:Coil0340:Read"
340,"Line A Selected in Test Mode","CYC:LineASelectedTestMode:Status","Test","Not Test",341,"MOD1:Coil0341:Read"
341,"Line B Selected in Treat Mode","CYC:LineBSelectedTreatMode:Status","Treat","Not Treat",342,"MOD1:Coil0342:Read"
342,"Line B Selected in Testt Mode","CYC:LineBSelectedTestMode:Status","Test","Not Test",343,"MOD1:Coil0343:Read"
343,"Zero Line Selected","CYC:ZeroLineSelected:Status","Selected","Not Selected",344,"MOD1:Coil0344:Read"
344,"C Line Selected","CYC:LineCSelectedTestMode:Status","Selected","Not Selected",345,"MOD1:Coil0345:Read"
345,"Line A Selected","CYC:LineASelected:Status","Selected","Not Selected",346,"MOD1:Coil0346:Read"
346,"Line B Selected ","CYC:LineBSelected:Status","Selected","Not Selected",347,"MOD1:Coil0347:Read"
347,"xx","CoilBlank0348","One","Zero",348,"MOD1:Coil0348:Read"
348,"xx","CoilBlank0349","One","Zero",349,"MOD1:Coil0349:Read"
349,"Row 1 Requested","CYC:Row1Requested:CMD","Requested","Not Requested",350,"MOD1:Coil0350:Read"
350,"Row 2 Requested","CYC:Row2Requested:CMD","Requested","Not Requested",351,"MOD1:Coil0351:Read"
351,"Row 3 Requested","CYC:Row3Requested:CMD","Requested","Not Requested",352,"MOD1:Coil0352:Read"
352,"Row 4 Requested","CYC:Row4Requested:CMD","Requested","Not Requested",353,"MOD1:Coil0353:Read"
353,"Row 5 Requested","CYC:Row5Requested:CMD","Requested","Not Requested",354,"MOD1:Coil0354:Read"
354,"Row 6 Requested","CYC:Row6Requested:CMD","Requested","Not Requested",355,"MOD1:Coil0355:Read"
355,"Col 1 Requested","CYC:Col1Requested:CMD","Requested","Not Requested",356,"MOD1:Coil0356:Read"
356,"Col 2 Requested","CYC:Col2Requested:CMD","Requested","Not Requested",357,"MOD1:Coil0357:Read"
357,"Col 3 Requested","CYC:Col3Requested:CMD","Requested","Not Requested",358,"MOD1:Coil0358:Read"
358,"Col 4 Requested","CYC:Col4Requested:CMD","Requested","Not Requested",359,"MOD1:Coil0359:Read"
359,"Col 5 Requested","CYC:Col5Requested:CMD","Requested","Not Requested",360,"MOD1:Coil0360:Read"
360,"Col 6 Requested","CYC:Col6Requested:CMD","Requested","Not Requested",361,"MOD1:Coil0361:Read"
361,"PG1 Selected","PG1:Selected:Status","Selected","Not Selected",362,"MOD1:Coil0362:Read"
362,"PG2 Selected","PG2:Selected:Status","Selected","Not Selected",363,"MOD1:Coil0363:Read"
363,"PGSWM Selected","PGSWM:Selected:Status","Selected","Not Selected",364,"MOD1:Coil0364:Read"
364,"PGA1 Selected","PGA1:Selected:Status","Selected","Not Selected",365,"MOD1:Coil0365:Read"
365,"PGA2 Selected","PGA2:Selected:Status","Selected","Not Selected",366,"MOD1:Coil0366:Read"
366,"PGB1 Selected","PGB1:Selected:Status","Selected","Not Selected",367,"MOD1:Coil0367:Read"
367,"PGB2 Selected","PGB2:Selected:Status","Selected","Not Selected",368,"MOD1:Coil0368:Read"
368,"PGC1 Selected","PGC1:Selected:Status","Selected","Not Selected",369,"MOD1:Coil0369:Read"
369,"Pump Group Off Requested from PB","VAC:PGOffRequestedPB:Status","Pushed","Not Pushed",370,"MOD1:Coil0370:Read"
370,"Pump Group Standby Requested from PB","VAC:PGStandbyRequestedPB:Status","Pushed","Not Pushed",371,"MOD1:Coil0371:Read"
371,"Pump Group Pump Requested from PB","VAC:PGPumpRequestedPB:Status","Pushed","Not Pushed",372,"MOD1:Coil0372:Read"
372,"PGZ1 Selected","PGZ1:Selected:Status","Selected","Not Selected",373,"MOD1:Coil0373:Read"
373,"xx","CoilBlank0374","One","Zero",374,"MOD1:Coil0374:Read"
374,"Open BEV from CD","CYC:OpenBEV:CMD","Open","Not Open",375,"MOD1:Coil0375:Read"
375,"xx","CoilBlank0376","One","Zero",376,"MOD1:Coil0376:Read"
376,"FC2 In  L1 Requested From CD","CYC:FC2In:L1Requested:CMD","Requested","Not Requested",377,"MOD1:Coil0377:Read"
377,"One Shot when ready depressed at CD","CYC:ReadyOneShot:CMD","Pushed","Not Pushed",378,"MOD1:Coil0378:Read"
378,"Used to make One Shot","CYC:OneShot:CMD","One","Zero",379,"MOD1:Coil0379:Read"
379,"FC1 Removal Allowed","CYC:FC1:RemovalAllowed:Status","Allowed","Not Allowed",380,"MOD1:Coil0380:Read"
380,"FC2A Removal Allowed","CYC:FC2A:RemovalAllowed:Status","Allowed","Not Allowed",381,"MOD1:Coil0381:Read"
381,"FC2B Removal Allowed","CYC:FC2B:RemovalAllowed:Status","Allowed","Not Allowed",382,"MOD1:Coil0382:Read"
382,"FC3A Interlock","CYC:FC3A:Interlock:Status","Interlock","No Interlock",383,"MOD1:Coil0383:Read"
383,"Used to make One Shot","CYC:FC:OneShot:CMD","One","Zero",384,"MOD1:Coil0384:Read"
384,"One Shot at end of Ready Period","CYC:Col1Requested:CMD","One","Zero",385,"MOD1:Coil0385:Read"
385,"Beep Inhibit 1","CYC:BeepInhibit1:CMD","Inhibit","Not Inhibited",386,"MOD1:Coil0386:Read"
386,"Beep Inhibit 2","CYC:BeepInhibit2:CMD","Inhibit","Not Inhibited",387,"MOD1:Coil0387:Read"
387,"Op Alert System Beep Inhibit","CYC:OpBeepInibit:CMD","Inhibit","Not Inhibited",388,"MOD1:Coil0388:Read"
388,"Crash Alert","CYC:CrashAlert:CMD","Alert","No Alert",389,"MOD1:Coil0389:Read"
389,"xx","CoilBlank0390","One","Zero",390,"MOD1:Coil0390:Read"
390,"xx","CoilBlank0391","One","Zero",391,"MOD1:Coil0391:Read"
391,"System Ready FC1 to FC2A","CYC:FC1toFC2A:SystemReady:Status","Ready","Not Ready",392,"MOD1:Coil0392:Read"
392,"System Ready FC2A to FC3A","CYC:FC2AtoFC3A:SystemReady:Status","Ready","Not Ready",393,"MOD1:Coil0393:Read"
393,"System Ready FC3A to Target A","CYC:FC3AtoTargetA:SystemReady:Status","Ready","Not Ready",394,"MOD1:Coil0394:Read"
394,"System Ready FC1 to FC2B","CYC:FC1toFC2B:SystemReady:Status","Ready","Not Ready",395,"MOD1:Coil0395:Read"
395,"System Ready FC2B to Target B","CYC:FC2BtoTargetB:SystemReady:Status","Ready","Not Ready",396,"MOD1:Coil0396:Read"
396,"System Ready FC1 to Target A","CYC:FC1toTargetA:TreatMode:SystemReady:Status","Ready","Not Ready",397,"MOD1:Coil0397:Read"
397,"System Ready FC1 to Target B","CYC:FC1toTargetB:TreatMode:SystemReady:Status","Ready","Not Ready",398,"MOD1:Coil0398:Read"
398,"Line C Ready","CYC:LineC:SystemReady:Status","Ready","Not Ready",399,"MOD1:Coil0399:Read"
399,"Zero Line Ready","CYC:ZeroLine:SystemReady:Status","Ready","Not Ready",400,"MOD1:Coil0400:Read"
400,"xx","CoilBlank0401","One","Zero",401,"MOD1:Coil0401:Read"
401,"Target Z Vent Open > 5 Sec","TARZ:VentOpen5Sec:Status","Open > 5 Sec","Not Open",402,"MOD1:Coil0402:Read"
402,"Target Z Water Off Delayed","TARZ:WaterOffDelayed:Status","Delayed","Not Delayed",403,"MOD1:Coil0403:Read"
403,"Target Z Blowdown Requested","TARZ:BlowdownRequested:Status","Requested","Not Requested",404,"MOD1:Coil0404:Read"
404,"Target Z Blowdown Turnoff Pulse","TARZ:BlowdownTurnoffPulse:CMD","Pulse","Not Pulse",405,"MOD1:Coil0405:Read"
405,"< 5 mins since Blowdown","TARZ:5minSinceBlowdown:Status","One","Zero",406,"MOD1:Coil0406:Read"
406,"Target Z Repeat Blowdown  Cycle","TARZ:RepeatBlowdown:CMD","Repeat","Not Repeat",407,"MOD1:Coil0407:Read"
407,"BLVZ2 Open > 5 Min","VAC:BLVZ2Open5min:Status","Open","Not Open",408,"MOD1:Coil0408:Read"
408,"PSARC current ok","Source:Arc:CurrentOK:Status","OK","Not OK",409,"MOD1:Coil0409:Read"
409,"Target Z Normal Beam On","TARZ:NormalBeamOn:Status","Beam On","No Beam On",410,"MOD1:Coil0410:Read"
410,"Standby 2 Selected","Standby:SB2:Status","One","Zero",411,"MOD1:Coil0411:Read"
411,"SB1-SB2 Transition in Progess","Standby:SB1:Transition","One","Zero",412,"MOD1:Coil0412:Read"
412,"SB1-SB2 One-Shot Timer Output","Standby:SB1:OneShotTime:Output","One","Zero",413,"MOD1:Coil0413:Read"
413,"SB1-SB2 Time-Out Pulse","Standby:SB1:TimeOutPulse","One","Zero",414,"MOD1:Coil0414:Read"
414,"SB1-SB2 Transition Achieved","Standby:SB1:Transition:Achieved","One","Zero",415,"MOD1:Coil0415:Read"
415,"Standby 1 Selected","Standby:SB1:Status","One","Zero",416,"MOD1:Coil0416:Read"
416,"SB2-SB1 Transition in Progress","Standby:SB2:Transition","One","Zero",417,"MOD1:Coil0417:Read"
417,"SB2-SB1 One-Shot Timer Output","Standby:SB2:OneShotTime:Output","One","Zero",418,"MOD1:Coil0418:Read"
418,"SB2-SB1 Time-Out Pulse","Standby:SB2:TimeOutPulse","One","Zero",419,"MOD1:Coil0419:Read"
419,"SB2-SB1 Transition Achieved","Standby:SB2:Transition:Achieved","One","Zero",420,"MOD1:Coil0420:Read"
420,"xx","CoilBlank0421","One","Zero",421,"MOD1:Coil0421:Read"
421,"xx","CoilBlank0422","One","Zero",422,"MOD1:Coil0422:Read"
422,"xx","CoilBlank0423","One","Zero",423,"MOD1:Coil0423:Read"
423,"xx","CoilBlank0424","One","Zero",424,"MOD1:Coil0424:Read"
424,"xx","CoilBlank0425","One","Zero",425,"MOD1:Coil0425:Read"
425,"xx","CoilBlank0426","One","Zero",426,"MOD1:Coil0426:Read"
426,"xx","CoilBlank0427","One","Zero",427,"MOD1:Coil0427:Read"
427,"xx","CoilBlank0428","One","Zero",428,"MOD1:Coil0428:Read"
428,"xx","CoilBlank0429","One","Zero",429,"MOD1:Coil0429:Read"
429,"N1 and N2 Gas Valves Closed","CYC:N1andN2:GasValvesClosed:Status","Closed","Not Closed",430,"MOD1:Coil0430:Read"
430,"Probe Cooling OK","CYC:ProbeCoolingOk:Status","Ok","Not Ok",431,"MOD1:Coil0431:Read"
431,"SOS Requested","CYC:SOSRequested:Status","Requested","Not Requested",432,"MOD1:Coil0432:Read"
432,"Used to create SOS Signal","CoilBlank0433","One","Zero",433,"MOD1:Coil0433:Read"
433,"Used to create SOS Signal","CoilBlank0434","One","Zero",434,"MOD1:Coil0434:Read"
434,"Used to create SOS Signal","CoilBlank0435","One","Zero",435,"MOD1:Coil0435:Read"
435,"Used to create SOS Signal","CoilBlank0436","One","Zero",436,"MOD1:Coil0436:Read"
436,"Used to create SOS Signal","CoilBlank0437","One","Zero",437,"MOD1:Coil0437:Read"
437,"Used to create SOS Signal","CoilBlank0438","One","Zero",438,"MOD1:Coil0438:Read"
438,"Used to create SOS Signal","CoilBlank0439","One","Zero",439,"MOD1:Coil0439:Read"
439,"Used to create SOS Signal","CoilBlank0440","One","Zero",440,"MOD1:Coil0440:Read"
440,"Used to create SOS Signal","CoilBlank0441","One","Zero",441,"MOD1:Coil0441:Read"
441,"PSARC Start Timer Output","Source:Arc:StartTimer:Output","Start","Not Start",442,"MOD1:Coil0442:Read"
442,"xx","CoilBlank0443","One","Zero",443,"MOD1:Coil0443:Read"
443,"PSHV Start Timer Output","PSHV:StartTimer:Output","Start","Not Start",444,"MOD1:Coil0444:Read"
444,"MPPC Start Timer Output","MPPC:StartTimer:Output","Start","Not Start",445,"MOD1:Coil0445:Read"
445,"ISM Reset Pulse Timer Output","ISM:PulseTimerReset:Output","Reset","Not Reset",446,"MOD1:Coil0446:Read"
446,"ISM Start Timer Output","ISM:StartTimer:Output","Start","Not Start",447,"MOD1:Coil0447:Read"
447,"PSARC External Interlock","Source:Arc:ExternalInterlock:Status","Interlock","Not Interlock",448,"MOD1:Coil0448:Read"
448,"Beam On In Vault","CYC:Vault:BeamOn:Status","Beam On","Beam Off",449,"MOD1:Coil0449:Read"
449,"PSARC Reset Pulse Timer Output","Source:Arc:PulseTimerReset:Output","Reset","Not Reset",450,"MOD1:Coil0450:Read"
450,"xx","CoilBlank0451","One","Zero",451,"MOD1:Coil0451:Read"
451,"Beam Off Requested","CCC:BeamOff:Requested","Requested","Not Requested",452,"MOD1:Coil0452:Read"
452,"DECU Reset Pulse Timer Output","DECU:PulseTimerReset:Output","Reset","Not Reset",453,"MOD1:Coil0453:Read"
453,"xx","CoilBlank0454","One","Zero",454,"MOD1:Coil0454:Read"
454,"Watchdog A Pulse Positive Edge","CYC:WatchdogAPulse:PosEdge","One","Zero",455,"MOD1:Coil0455:Read"
455,"Watchdog B Pulse Positive Edge","CYC:WatchdogBPulse:PosEdge","One","Zero",456,"MOD1:Coil0456:Read"
456,"Dueterons","CYC:DueteronsSelected:Status","Dueterons","Not Selected",457,"MOD1:Coil0457:Read"
457,"3-He Selected","CYC:3HeSelected:Status","3He","Not Selected",458,"MOD1:Coil0458:Read"
458,"4-He Selected","CYC:4HeSelected:Status","4He","Not Selected",459,"MOD1:Coil0459:Read"
459,"PG1 Status Requested by PDP","PDPBlank0460","One","Zero",460,"MOD1:Coil0460:Read"
460,"PG2 Status Requested by PDP","PDPBlank0461","One","Zero",461,"MOD1:Coil0461:Read"
461,"PGSWM Status Requested by PDP","PDPBlank0462","One","Zero",462,"MOD1:Coil0462:Read"
462,"PGA1 Status Requested by PDP","PDPBlank0463","One","Zero",463,"MOD1:Coil0463:Read"
463,"PGA2 Status Requested by PDP","PDPBlank0464","One","Zero",464,"MOD1:Coil0464:Read"
464,"PGB1 Status Requested by PDP","PDPBlank0465","One","Zero",465,"MOD1:Coil0465:Read"
465,"PGB2 Status Requested by PDP","PDPBlank0466","One","Zero",466,"MOD1:Coil0466:Read"
466,"PGC1 Status Requested by PDP","PDPBlank0467","One","Zero",467,"MOD1:Coil0467:Read"
467,"VAC Status Requested by PDP","PDPBlank0468","One","Zero",468,"MOD1:Coil0468:Read"
468,"Probe Cooling Status Requested by PDP","PDPBlank0469","One","Zero",469,"MOD1:Coil0469:Read"
469,"Air Selected","CYC:AirSelected:Status","Air ","Not Selected",470,"MOD1:Coil0470:Read"
470,"Protons Selected","CYC:ProtonsSelected:Status","Protons","Not Selected",471,"MOD1:Coil0471:Read"
471,"H2+ Selected","CYC:H2+Selected:Status","H2+","Not Selected",472,"MOD1:Coil0472:Read"
472,"xx","CoilBlank0473","One","Zero",473,"MOD1:Coil0473:Read"
473,"Evacuate Gas Manifold","CYC:GasManifoldEvacuate:Status","Evacuate","Not Evacuate",474,"MOD1:Coil0474:Read"
474,"Service Pump On Request","VAC:ServicePumpOnReq:Status","Requested","Not Requested",475,"MOD1:Coil0475:Read"
475,"Manifold Evacuation Timer Out","VAC:GasManifoldTimer:Status","Timed Out","Not Timed Out",476,"MOD1:Coil0476:Read"
476,"xx","CoilBlank0477","One","Zero",477,"MOD1:Coil0477:Read"
477,"Blink Generator 1","CYC:BlinkGenerator1:Status","One","Zero",478,"MOD1:Coil0478:Read"
478,"Blink Generator 2","CYC:BlinkGenerator2:Status","One","Zero",479,"MOD1:Coil0479:Read"
479,"Cyc to FC1 Vacuum OK","CYC:CycToFC1:VacuumOK:Status","Ok","Not Ok",480,"MOD1:Coil0480:Read"
480,"FC1 to Target A Vacuum OK","CYC:FC1ToTargetA:VacuumOK:Status","Ok","Not Ok",481,"MOD1:Coil0481:Read"
481,"FC1 to Target B Vacuum OK","CYC:FC1ToTargetB:VacuumOK:Status","Ok","Not Ok",482,"MOD1:Coil0482:Read"
482,"FC1 to FC2A Vacuum OK","CYC:FC1ToFC2A:VacuumOK:Status","Ok","Not Ok",483,"MOD1:Coil0483:Read"
483,"FC2A to Target A Vacuum OK","CYC:FC1AToTargetA:VacuumOK:Status","Ok","Not Ok",484,"MOD1:Coil0484:Read"
484,"FC1 to FC2B Vacuum OK","CYC:FC1ToFC2B:VacuumOK:Status","Ok","Not Ok",485,"MOD1:Coil0485:Read"
485,"FC2B to Target B Vacuum OK","CYC:FC2BtoTargetB:SystemReady:Status","Ok","Not Ok",486,"MOD1:Coil0486:Read"
486,"FC1 to FC2C Vacuum OK","CYC:FC1ToFC2C:SystemReady:Status","Ok","Not Ok",487,"MOD1:Coil0487:Read"
487,"xx","CoilBlank0488","One","Zero",488,"MOD1:Coil0488:Read"
488,"xx","CoilBlank0489","One","Zero",489,"MOD1:Coil0489:Read"
489,"One Shot timer output start A button","CYC:OneShotTimerStartAButton","One","Zero",490,"MOD1:Coil0490:Read"
490,"One Shot timer output start B button","CYC:OneShotTimerStartBButton","One","Zero",491,"MOD1:Coil0491:Read"
491,"One Shot timer output beam off A button","CYC:OneShotTimerBeamOffAButton","One","Zero",492,"MOD1:Coil0492:Read"
492,"One Shot timer output beam off A button","CYC:OneShotTimerBeamOffAButton","One","Zero",493,"MOD1:Coil0493:Read"
493,"Fast Blink Generator 1","CYC:FastBlinkGenerator1","One","Zero",494,"MOD1:Coil0494:Read"
494,"Fast Blink Generator 2","CYC:FastBlinkGenerator2","One","Zero",495,"MOD1:Coil0495:Read"
495,"xx","CoilBlank0496","One","Zero",496,"MOD1:Coil0496:Read"
496,"xx","CoilBlank0497","One","Zero",497,"MOD1:Coil0497:Read"
497,"xx","CoilBlank0498","One","Zero",498,"MOD1:Coil0498:Read"
498,"xx","CoilBlank0499","One","Zero",499,"MOD1:Coil0499:Read"
499,"Vent Valve Open > 60 Seconds","CYC:VentValveOpen60S:Status","Open","Not Open",500,"MOD1:Coil0500:Read"
500,"Yoke Lift Interlock Timer","CYC:YokeLiftIntlk:Timer","One","Zero",501,"MOD1:Coil0501:Read"
501,"xx","CoilBlank0502","One","Zero",502,"MOD1:Coil0502:Read"
502,"xx","CoilBlank0503","One","Zero",503,"MOD1:Coil0503:Read"
503,"xx","CoilBlank0504","One","Zero",504,"MOD1:Coil0504:Read"
504,"Line A Selection Pulse","CYC:LineASelection:Pulse","One","Zero",505,"MOD1:Coil0505:Read"
505,"Line B Selection Pulse","CYC:LineBSelection:Pulse","One","Zero",506,"MOD1:Coil0506:Read"
506,"Drawer and Glass A at Treat/Open","CYC:DrawerGlassA:TreatOpen:Status","TreatOpen","Not TreatOpen",507,"MOD1:Coil0507:Read"
507,"Drawer and Glass B at Treat/Open","CYC:DrawerGlassB:TreatOpen:Status","TreatOpen","Not TreatOpen",508,"MOD1:Coil0508:Read"
508,"Path A Secure","CYC:PathASecure:Status","Secure","Not Secure",509,"MOD1:Coil0509:Read"
509,"xx","CoilBlank0510","One","Zero",510,"MOD1:Coil0510:Read"
510,"RF Reset Pulse Timer Output","RF:PulseTimerOutput:Reset","Reset","Not Reset",511,"MOD1:Coil0511:Read"
511,"RF One Second Reset Pulse","RF:OneSecResetPulse","One","Zero",512,"MOD1:Coil0512:Read"
512,"RF To Standby Pulse Timer Ouput","RF:StdbyPulseTimerOutput","One","Zero",513,"MOD1:Coil0513:Read"
513,"RF 2 Second Pulse at RF to Standby","RF:RFtoStdby2SecPulse","One","Zero",514,"MOD1:Coil0514:Read"
514,"One Second RF Result Pulse at Standby","RF:Stdby:OneSecResetPulse","One","Zero",515,"MOD1:Coil0515:Read"
515,"RF HV On Pulse Timer Output","RF:HVOnPulseTimer:Output","One","Zero",516,"MOD1:Coil0516:Read"
516,"RF 2 Second Pulse at RF HV On","RF:HVOn2SecPulse:Output","One","Zero",517,"MOD1:Coil0517:Read"
517,"RF 1 Second Reset Pulse at HV On","RF:HVOn1SecResetPulse","One","Zero",518,"MOD1:Coil0518:Read"
